config,csv_schema,2
config,question_id,NUR01
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】標準予防策に関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,標準予防策は、感染症の診断の有無にかかわらず、すべての患者に適用する
option1W,string,ja,標準予防策は、感染症と診断された患者だけに適用する
feedback1,string,ja,標準予防策は、感染状態にかかわらず、すべての患者ケアに適用する基本的な対策です。
option2C,string,ja,血液や体液などは、感染性がある可能性を考えて取り扱う
option2W,string,ja,見た目が清潔な血液や体液は、感染性がないものとして取り扱う
feedback2,string,ja,血液、体液、分泌物、排泄物、損傷皮膚、粘膜などは感染源となる可能性があります。
option3C,string,ja,標準予防策には、手指衛生と状況に応じた個人防護具の使用が含まれる
option3W,string,ja,標準予防策には、手指衛生や個人防護具の使用は含まれない
feedback3,string,ja,手指衛生と曝露リスクに応じた個人防護具の使用は、標準予防策の主要な要素です。
option4C,string,ja,感染経路別予防策は、必要に応じて標準予防策へ追加する
option4W,string,ja,感染経路別予防策を行う場合、標準予防策は中止する
feedback4,string,ja,接触・飛沫・空気予防策などは、標準予防策に追加して行います。
option5C,string,ja,標準予防策は、患者と医療従事者の双方を感染から守る
option5W,string,ja,標準予防策は、医療従事者だけを守るもので患者の安全とは無関係である
feedback5,string,ja,標準予防策は医療従事者を守るとともに、患者間の感染伝播も防ぎます。
