config,csv_schema,2
config,question_id,STA06
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：標本抽出とバイアス】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,単純無作為抽出では、母集団の各要素が抽出される機会を持つ
option1W,string,ja,単純無作為抽出では、調査者が都合のよい対象だけを選ぶ
feedback1,string,ja,確率的な抽出は選択の仕組みを明確にし、標本誤差の評価を可能にします。
option2C,string,ja,回答したい人だけが参加する調査では、自己選択バイアスに注意が必要である
option2W,string,ja,回答したい人だけの調査結果は、常に母集団を偏りなく代表する
feedback2,string,ja,強い意見や関心を持つ人ほど回答しやすいと、回答者と非回答者が系統的に異なる可能性があります。
option3C,string,ja,無回答者の特徴が回答者と異なると、無回答バイアスが生じ得る
option3W,string,ja,回収率が低くても、無回答者の特徴は推定結果に決して影響しない
feedback3,string,ja,回収率だけでなく、誰が回答しなかったかを検討することが重要です。
option4C,string,ja,誘導的な質問文や選択肢の順序は、測定結果に影響することがある
option4W,string,ja,質問文や選択肢の提示方法は、回答に一切影響しない
feedback4,string,ja,質問設計による測定誤差を抑えるには、予備調査や中立的表現、順序効果への配慮が必要です。
