config,csv_schema,2
config,question_id,ECO03
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：価格弾力性】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,需要の価格弾力性は、需要量の変化率を価格の変化率と関連づける指標である
option1W,string,ja,需要の価格弾力性は、需要量の単位だけで決まり価格変化とは無関係である
feedback1,string,ja,価格弾力性は価格変化に対する数量反応を変化率で測るため、単位に依存しにくい指標です。
option2C,string,ja,代替品が多い財は、一般に需要の価格弾力性が大きくなりやすい
option2W,string,ja,代替品の数は、需要の価格弾力性にまったく影響しない
feedback2,string,ja,価格が上がったとき他の商品へ移りやすいほど、需要量の反応は大きくなりやすくなります。
option3C,string,ja,需要が価格弾力的なら、他の条件が一定のもとで値下げが売上高を増やす場合がある
option3W,string,ja,需要が価格弾力的でも、値下げは必ず売上高を減少させる
feedback3,string,ja,弾力的需要では数量の増加率が価格の低下率を上回るため、売上高が増える方向に働きます。
option4C,string,ja,供給の価格弾力性は、生産量を調整できる時間が長いほど大きくなることが多い
option4W,string,ja,供給の価格弾力性は、調整期間の長さと無関係で常にゼロである
feedback4,string,ja,長期には設備や参入などを調整できるため、短期より供給が価格に反応しやすいことが一般的です。
