config,csv_schema,2
config,question_id,ETH07
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：人を対象とする研究】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,人を対象とする研究では、開始前に適用される倫理指針と倫理審査の要否を確認する
option1W,string,ja,教育・研究目的なら、人を対象としても倫理審査の要否を確認する必要はない
feedback1,string,ja,研究種別、侵襲、個人情報、公開データなどで要件が異なるため、所属機関の審査手続を事前に確認します。
option2C,string,ja,インフォームド・コンセントでは、目的、方法、負担・利益、撤回などを理解できるよう説明する
option2W,string,ja,同意書へ署名さえ得れば、研究内容や不利益を説明する必要はない
feedback2,string,ja,同意は単なる署名ではなく、十分な情報と理解、自発性に基づく継続的な過程です。
option3C,string,ja,研究参加を断っても不利益を受けないことを、参加候補者へ明確に伝える
option3W,string,ja,教員や医療者は立場が強いので、断れない雰囲気を利用して参加を求めてよい
feedback3,string,ja,権力関係がある場面では自由意思が損なわれやすく、募集・同意取得方法に追加配慮が必要です。
option4C,string,ja,承認後に研究計画を変更する場合も、実施前に変更審査の要否を確認する
option4W,string,ja,一度倫理承認を受ければ、対象者や方法を自由に変更して事後報告だけでよい
feedback4,string,ja,変更がリスクや同意内容へ影響する可能性があるため、機関の手順に従って事前承認を得ます。
