config,csv_schema,2
config,question_id,STA07
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：信頼区間】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,信頼区間は、点推定値に推定の不確実性を加えて範囲で示す
option1W,string,ja,信頼区間は、標本誤差を無視して母数を一点に確定する方法である
feedback1,string,ja,区間の幅は標準誤差や信頼水準などに依存し、推定精度の情報を与えます。
option2C,string,ja,同じ条件なら、標本数を増やすと一般に信頼区間は狭くなる
option2W,string,ja,同じ条件なら、標本数を増やすほど信頼区間は必ず広くなる
feedback2,string,ja,標本数の増加で標準誤差が小さくなるため、他の条件が同じなら区間は狭くなります。
option3C,string,ja,同じデータなら、95%信頼区間は90%信頼区間より一般に広い
option3W,string,ja,同じデータなら、信頼水準を高くするほど信頼区間は必ず狭くなる
feedback3,string,ja,より高い割合で母数を覆う手続にするには、通常は幅を広く取る必要があります。
option4C,string,ja,95%信頼区間は、同じ方法を繰り返したとき作られた区間の約95%が真の母数を含むという手続上の性質を持つ
option4W,string,ja,95%信頼区間は、観測後の固定された母数がその区間内にある確率が必ず95%だという意味だけを持つ
feedback4,string,ja,頻度論では母数は固定値で、95%は区間を作る手続の長期的被覆率として解釈します。
