config,csv_schema,2
config,question_id,CIV10
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：法定相続と相続放棄】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,被相続人の配偶者は、常に相続人となる
option1W,string,ja,被相続人の配偶者は、子がいる場合には相続人にならない
feedback1,string,ja,配偶者は常に相続人です（民法890条）。他の相続人と共同相続することがあります。
option2C,string,ja,子、直系尊属、兄弟姉妹には、法律上の相続順位がある
option2W,string,ja,子、直系尊属、兄弟姉妹は、常に全員が同順位で相続する
feedback2,string,ja,子が第1順位、直系尊属が第2順位、兄弟姉妹が第3順位です（民法887条・889条）。代襲相続などの規定もあります。
option3C,string,ja,相続を放棄するには、家庭裁判所に申述しなければならない
option3W,string,ja,相続放棄は、親族へ口頭で伝えるだけで法律上の手続が完了する
feedback3,string,ja,相続放棄は家庭裁判所への申述によって行います（民法938条）。
option4C,string,ja,相続人は、原則として自己のために相続開始があったことを知った時から3か月以内に承認または放棄を選択する
option4W,string,ja,相続人は、相続開始を知った翌日までに必ず放棄しなければならない
feedback4,string,ja,熟慮期間は原則3か月です（民法915条）。家庭裁判所が伸長できる場合があります。
