config,csv_schema,2
config,question_id,SampleNurse004
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】手袋の使用に関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,血液や体液に触れる可能性がある場合は、手袋を使用する
option1W,string,ja,血液や体液に触れる可能性があっても、手袋は使用しない
feedback1,string,ja,血液・体液、粘膜、損傷皮膚などへの接触が予想される場合は手袋を使用します。
option2C,string,ja,手袋を外した直後には手指衛生を行う
option2W,string,ja,手袋を外した後は、手指衛生を省略できる
feedback2,string,ja,手袋には微小な破損や脱着時の汚染があり得るため、外した直後に手指衛生を行います。
option3C,string,ja,同じ手袋を着けたまま複数の患者をケアしない
option3W,string,ja,手袋が破れていなければ、同じ手袋で複数の患者をケアしてよい
feedback3,string,ja,手袋は患者間で交換し、交差感染を防ぎます。
option4C,string,ja,同じ患者でも、汚染部位から清潔部位へ移るときは手袋を交換する
option4W,string,ja,同じ患者であれば、汚染部位から清潔部位へ移っても手袋を交換しない
feedback4,string,ja,同一患者のケアでも、汚染部位から清潔部位へ移る際は手袋を交換します。
option5C,string,ja,手袋の使用は、必要な手指衛生の代わりにはならない
option5W,string,ja,手袋を使用すれば、すべての手指衛生を省略できる
feedback5,string,ja,手袋を使用しても、着用前後など必要なタイミングの手指衛生は省略できません。
