config,csv_schema,2
config,question_id,STA10
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,mixed
config,base_language,ja
qtextL,string,ja,【統計リテラシー：診断検査の指標】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,感度は、疾患がある人のうち検査が陽性となる割合である
option1W,string,ja,感度は、疾患がない人のうち検査が陰性となる割合である
feedback1,string,ja,感度は真陽性率で、疾患ありを条件とします。疾患なしを条件に陰性となる割合は特異度です。
option2C,string,ja,特異度は、疾患がない人のうち検査が陰性となる割合である
option2W,string,ja,特異度は、検査陽性者のうち疾患がある人の割合である
feedback2,string,ja,特異度は真陰性率です。陽性者中の疾患割合は陽性的中率です。
option3C,string,ja,陽性的中率は、感度・特異度が同じでも対象集団の有病率によって変わる
option3W,string,ja,陽性的中率は、対象集団の有病率に関係なく常に一定である
feedback3,string,ja,有病率が低い集団では偽陽性の比重が大きくなり、陽性的中率が低くなることがあります。
option4C,string,ja,検査結果の解釈では、検査精度に加えて症状、事前確率、偽陽性・偽陰性の影響を考える
option4W,string,ja,検査が一度陰性なら、検査精度や臨床状況に関係なく疾患を完全に否定できる
feedback4C,string,ja,単一の結果だけで断定せず、目的と閾値、臨床情報、必要に応じた追加検査を総合します。
feedback4W,string,ja,単一の結果だけで断定せず、目的と閾値、臨床情報、必要に応じた追加検査を総合します。
option5C,cas_list,n/a,"makelist(castext(i^2), i, 1, 5)"
option5W,cas_list,n/a,"makelist(castext(i^3), i, 1, 5)"
