config,csv_schema,2
config,question_id,ICT07
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：情報源の評価】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,情報の評価では、発信者、根拠、発行日、目的、他資料との整合性を確認する
option1W,string,ja,検索結果の最上位に表示された情報は、内容を確認せず最も信頼できると判断する
feedback1,string,ja,検索順位は正確性の保証ではありません。一次資料へさかのぼり、複数の独立した根拠と照合します。
option2C,string,ja,画像や動画は、撮影時期・場所・文脈が別の出来事から転用されていないか確認する
option2W,string,ja,本物の写真であれば、付された説明文も必ず正しい
feedback2,string,ja,素材自体が本物でも、古い映像や別地域の映像を誤った文脈で示すことがあります。
option3C,string,ja,記事が引用する研究では、原論文の対象、方法、効果量、限界を確認する
option3W,string,ja,見出しに『科学的に証明』とあれば、研究設計や標本数を確認する必要はない
feedback3,string,ja,要約や見出しは単純化されるため、一次研究と査読状況、再現性を確認します。
option4C,string,ja,自分の考えに合う情報ほど、反対証拠や代替説明も意識して探す
option4W,string,ja,自分の意見を支持する情報だけ集めれば、偏りのない検討になる
feedback4,string,ja,確証バイアスを抑えるには、反証可能性を考え、検索語や情報源を広げます。
