config,csv_schema,2
config,question_id,CIV07
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：賃貸借】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,賃貸借では、貸主が物の使用・収益をさせ、借主が賃料を支払うことなどを約する
option1W,string,ja,賃貸借では、借主は賃料を支払う義務を負わない
feedback1,string,ja,賃貸借は使用・収益と賃料支払いを中心とする契約です（民法601条）。
option2C,string,ja,賃貸人は、原則として賃貸物の使用・収益に必要な修繕をする義務を負う
option2W,string,ja,賃貸人は、賃貸物の使用に必要な修繕について常に何の義務も負わない
feedback2,string,ja,必要な修繕は原則として賃貸人の義務です（民法606条）。賃借人の責任で必要になった修繕は例外です。
option3C,string,ja,賃借人は、原則として賃貸人の承諾なく賃借権を譲渡したり転貸したりできない
option3W,string,ja,賃借人は、賃貸人の承諾なく常に自由に転貸できる
feedback3,string,ja,無断譲渡・転貸は原則として禁止されます（民法612条）。解除には信頼関係法理が問題になることもあります。
option4C,string,ja,通常の使用による損耗や経年変化は、原則として賃借人の原状回復義務の対象外である
option4W,string,ja,通常損耗や経年変化も、必ずすべて賃借人が原状回復しなければならない
feedback4,string,ja,通常損耗・経年変化は原則として原状回復義務から除かれます（民法621条）。特約の有効性は別途検討が必要です。
