config,csv_schema,2
config,question_id,NUR07
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】呼吸器衛生・咳エチケットに関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,咳やくしゃみの際は、口と鼻を覆う
option1W,string,ja,咳やくしゃみの際は、口と鼻を覆わない
feedback1,string,ja,呼吸器分泌物の飛散を減らすため、咳やくしゃみの際は口と鼻を覆います。
option2C,string,ja,使用したティッシュは、手を触れずに廃棄できる容器などへ捨てる
option2W,string,ja,使用したティッシュは、共用の机に置く
feedback2,string,ja,使用済みティッシュは適切に廃棄し、周囲の汚染を防ぎます。
option3C,string,ja,呼吸器分泌物に触れた後は、手指衛生を行う
option3W,string,ja,呼吸器分泌物に触れた後でも、手指衛生は不要である
feedback3,string,ja,鼻をかんだ後など、呼吸器分泌物に触れた後は手指衛生を行います。
option4C,string,ja,呼吸器症状がある人には、状況に応じてマスク着用を案内する
option4W,string,ja,呼吸器症状がある人には、マスクを外すよう案内する
feedback4,string,ja,耐えられる場合のマスク着用など、飛沫拡散を減らす行動を案内します。
option5C,string,ja,可能であれば、呼吸器症状がある患者と他の患者との距離を確保する
option5W,string,ja,呼吸器症状がある患者を、待合室で他の患者と密集させる
feedback5,string,ja,施設の状況に応じ、早期把握や空間的分離などで曝露機会を減らします。
