config,csv_schema,2
config,question_id,ECO02
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：需要・供給と市場均衡】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,他の条件が一定なら、価格の上昇は需要曲線上で需要量を減少させる
option1W,string,ja,他の条件が一定でも、価格が上昇すると必ず需要量が増加する
feedback1,string,ja,価格自身の変化は需要曲線上の移動として表し、通常は価格上昇で需要量が減ります。
option2C,string,ja,正常財では、所得の増加は一般に需要曲線を右へ移動させる
option2W,string,ja,正常財では、所得が増えても需要曲線は決して移動しない
feedback2,string,ja,正常財の需要は所得増加で増えるため、価格以外の条件による需要曲線のシフトとして表します。
option3C,string,ja,投入物価格の上昇は、他の条件が一定なら供給を減少させる方向に働く
option3W,string,ja,投入物価格の上昇は、生産費を下げて供給を必ず増加させる
feedback3,string,ja,生産費の上昇は各価格で供給できる量を減らし、供給曲線を左へ動かす要因です。
option4C,string,ja,競争市場の均衡価格では、需要量と供給量が一致する
option4W,string,ja,競争市場の均衡価格では、需要量と供給量は必ず一致しない
feedback4,string,ja,需要量と供給量が等しくなる点が基本的な市場均衡です。
