config,csv_schema,2
config,question_id,ETH09
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：動物を用いる研究】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,代替法で目的を達成できないか検討することは、3RのReplacementに当たる
option1W,string,ja,利用動物数を増やすことだけが、3RのReplacementを意味する
feedback1,string,ja,Replacementは動物を用いない方法や、より低次の生物への置換可能性を検討する考え方です。
option2C,string,ja,科学的妥当性を損なわない範囲で使用動物数を減らすことは、3RのReductionに当たる
option2W,string,ja,Reductionとは、統計設計を考えず一律に動物数をゼロにすることだけを指す
feedback2,string,ja,過少な標本で研究を無駄にすることも避け、適切な設計で必要最小限の数を用います。
option3C,string,ja,苦痛を軽減し飼育・処置を改善することは、3RのRefinementに当たる
option3W,string,ja,Refinementでは、麻酔や人道的エンドポイントを検討してはいけない
feedback3,string,ja,鎮痛・麻酔、環境改善、熟練した手技、人道的エンドポイントなどで苦痛を最小化します。
option4C,string,ja,動物実験は、研究機関の規程に従い計画の審査・承認を受けてから実施する
option4W,string,ja,研究目的なら、動物実験計画を研究者個人の判断だけで直ちに開始できる
feedback4,string,ja,科学的・倫理的妥当性と3Rを、機関の委員会などで事前に確認します。
